Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
TOR,Conor Timmins,David Kampf,0.83,3,4,Conor Timmins-David Kampf,0.1,19.0,10.0
UTA,Matias Maccelli,Vladislav Kolyachonok,0.83,9,4,Matias Maccelli-Vladislav Kolyachonok,,,
PHI,Anthony Richard,Sean Couturier,0.82,9,6,Anthony Richard-Sean Couturier,,,
EDM,Mattias Janmark,Ty Emberson,0.82,8,1,Mattias Janmark-Ty Emberson,,,
NYI,Adam Pelech,Alexander Romanov,0.82,4,2,Adam Pelech-Alexander Romanov,0.05,16.0,22.0
STL,Mathieu Joseph,Zack Bolduc,0.82,4,4,Mathieu Joseph-Zack Bolduc,,,
PHI,Nick Seeler,Rasmus Ristolainen,0.82,3,5,Nick Seeler-Rasmus Ristolainen,-0.13,13.0,4.0
SEA,Brandon Tanev,Tye Kartye,0.82,4,8,Brandon Tanev-Tye Kartye,0.41,20.0,16.0
PHI,Garnet Hathaway,Ryan Poehling,0.82,7,6,Garnet Hathaway-Ryan Poehling,0.32,17.0,28.0
CHI,Craig Smith,Lukas Reichel,0.82,6,6,Craig Smith-Lukas Reichel,,,
NSH,Juuso Parssinen,Luke Evangelista,0.82,8,5,Juuso Parssinen-Luke Evangelista,,,
FLA,Tomas Nosek,Uvis Balinskis,0.81,2,5,Tomas Nosek-Uvis Balinskis,,,
BUF,Henri Jokiharju,Jordan Greenway,0.81,6,3,Henri Jokiharju-Jordan Greenway,0.0,28.0,20.0
OTT,Nick Cousins,Tyler Kleven,0.81,1,4,Nick Cousins-Tyler Kleven,,,
VGK,Ivan Barbashev,Jack Eichel,0.81,17,27,Ivan Barbashev-Jack Eichel,0.46,45.0,68.0
NYR,Jonny Brodzinski,Will Cuylle,0.81,2,11,Jonny Brodzinski-Will Cuylle,0.3,19.0,21.0
ANA,Cutter Gauthier,Jackson LaCombe,0.81,6,3,Cutter Gauthier-Jackson LaCombe,,1.0,17.0
TBL,Anthony Cirelli,Brandon Hagel,0.81,16,17,Anthony Cirelli-Brandon Hagel,0.26,45.0,75.0
FLA,Matthew Tkachuk,Tomas Nosek,0.81,2,11,Matthew Tkachuk-Tomas Nosek,,,
OTT,Ridly Greig,Travis Hamonic,0.81,4,1,Ridly Greig-Travis Hamonic,-0.12,26.0,6.0
BUF,Jack Quinn,Sam Lafferty,0.81,1,5,Jack Quinn-Sam Lafferty,,,
BUF,Sam Lafferty,Zach Benson,0.8,4,1,Sam Lafferty-Zach Benson,,,
SEA,Jordan Eberle,Yanni Gourde,0.8,11,6,Jordan Eberle-Yanni Gourde,-0.02,44.0,33.0
PHI,Anthony Richard,Travis Konecny,0.8,6,22,Anthony Richard-Travis Konecny,,,
SEA,Chandler Stephenson,Oliver Bjorkstrand,0.8,8,10,Chandler Stephenson-Oliver Bjorkstrand,,,
CHI,Connor Bedard,Teuvo Teravainen,0.8,13,8,Connor Bedard-Teuvo Teravainen,,,
VAN,Daniel Sprong,J.T. Miller,0.8,3,16,Daniel Sprong-J.T. Miller,,,
CBJ,Cole Sillinger,Mikael Pyyhtia,0.8,1,9,Cole Sillinger-Mikael Pyyhtia,,,
NYI,Bo Horvat,Matt Martin,0.8,14,1,Bo Horvat-Matt Martin,,,
