Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
BUF,Tage Thompson,Zach Benson,0.0,4,18,Tage Thompson-Zach Benson,0.15,30.0,56.0
BUF,JJ Peterka,Jack Quinn,0.0,16,5,JJ Peterka-Jack Quinn,0.5,50.0,19.0
TOR,David Kampf,Max Domi,0.0,6,3,David Kampf-Max Domi,,,
PHI,Bobby Brink,Travis Konecny,-0.0,8,22,Bobby Brink-Travis Konecny,,,
CBJ,Jack Johnson,Kirill Marchenko,0.0,16,1,Jack Johnson-Kirill Marchenko,,,
CGY,Matt Coronato,Tyson Barrie,-0.0,7,2,Matt Coronato-Tyson Barrie,,,
DAL,Jamie Benn,Thomas Harley,0.0,8,8,Jamie Benn-Thomas Harley,0.01,60.0,47.0
NJD,Dougie Hamilton,Luke Hughes,-0.0,15,2,Dougie Hamilton-Luke Hughes,-0.12,16.0,47.0
VGK,Noah Hanifin,William Karlsson,0.0,9,8,Noah Hanifin-William Karlsson,-0.01,60.0,47.0
WSH,Dylan Strome,Nic Dowd,-0.0,6,24,Dylan Strome-Nic Dowd,0.01,22.0,67.0
CGY,Andrei Kuzmenko,Kevin Bahl,0.0,9,6,Andrei Kuzmenko-Kevin Bahl,,,
MIN,Jake Middleton,Marat Khusnutdinov,-0.01,2,9,Jake Middleton-Marat Khusnutdinov,0.0,4.0,25.0
WSH,Andrew Mangiapane,Taylor Raddysh,-0.01,7,7,Andrew Mangiapane-Taylor Raddysh,,,
CGY,Daniil Miromanov,Rasmus Andersson,-0.01,11,3,Daniil Miromanov-Rasmus Andersson,-0.08,39.0,7.0
BOS,Brad Marchand,Brandon Carlo,-0.01,13,3,Brad Marchand-Brandon Carlo,0.27,67.0,14.0
VGK,Alex Pietrangelo,Nicolas Roy,-0.01,12,13,Alex Pietrangelo-Nicolas Roy,0.08,41.0,33.0
TBL,Emil Lilleberg,Nikita Kucherov,-0.01,26,5,Emil Lilleberg-Nikita Kucherov,,,
TOR,Max Domi,Morgan Rielly,-0.01,6,13,Max Domi-Morgan Rielly,,,
CAR,Jaccob Slavin,Jackson Blake,-0.01,7,7,Jaccob Slavin-Jackson Blake,,0.0,37.0
VGK,Alexander Holtz,Jack Eichel,-0.01,27,7,Alexander Holtz-Jack Eichel,,,
VGK,Tanner Pearson,Tomas Hertl,-0.01,15,7,Tanner Pearson-Tomas Hertl,,,
DAL,Esa Lindell,Evgenii Dadonov,-0.01,7,7,Esa Lindell-Evgenii Dadonov,-0.18,23.0,26.0
DAL,Jason Robertson,Mason Marchment,-0.01,17,8,Jason Robertson-Mason Marchment,0.1,53.0,80.0
MTL,Brendan Gallagher,Emil Heineman,-0.01,9,5,Brendan Gallagher-Emil Heineman,,,
WPG,Kyle Connor,Mason Appleton,-0.01,10,22,Kyle Connor-Mason Appleton,0.04,61.0,36.0
CBJ,Damon Severson,Zachary Aston-Reese,-0.01,7,8,Damon Severson-Zachary Aston-Reese,,,
NYR,Adam Edstrom,Artemi Panarin,-0.01,2,23,Adam Edstrom-Artemi Panarin,-0.09,2.0,120.0
OTT,Noah Gregor,Thomas Chabot,-0.01,3,11,Noah Gregor-Thomas Chabot,,,
MTL,Cole Caufield,David Savard,-0.01,15,4,Cole Caufield-David Savard,-0.04,65.0,24.0
MTL,Juraj Slafkovsky,Kaiden Guhle,-0.01,11,5,Juraj Slafkovsky-Kaiden Guhle,0.11,50.0,22.0
CHI,Nick Foligno,Teuvo Teravainen,-0.01,7,8,Nick Foligno-Teuvo Teravainen,,,
NYR,Artemi Panarin,K'Andre Miller,-0.01,2,23,Artemi Panarin-K'Andre Miller,0.31,120.0,30.0
VGK,Alex Pietrangelo,Shea Theodore,-0.01,13,13,Alex Pietrangelo-Shea Theodore,-0.27,33.0,42.0
FLA,Aaron Ekblad,Niko Mikkola,-0.01,8,7,Aaron Ekblad-Niko Mikkola,-0.05,18.0,17.0
SJS,Carl Grundstrom,Fabian Zetterlund,-0.01,3,13,Carl Grundstrom-Fabian Zetterlund,,,
WSH,Martin Fehervary,Pierre-Luc Dubois,-0.01,11,3,Martin Fehervary-Pierre-Luc Dubois,,,
TOR,Simon Benoit,William Nylander,-0.02,20,2,Simon Benoit-William Nylander,-0.06,98.0,5.0
VAN,Carson Soucy,Quinn Hughes,-0.02,17,1,Carson Soucy-Quinn Hughes,0.32,92.0,6.0
MIN,Jake Middleton,Zach Bogosian,-0.02,4,9,Jake Middleton-Zach Bogosian,0.05,14.0,25.0
NJD,Nathan Bastian,Tomas Tatar,-0.02,5,5,Nathan Bastian-Tomas Tatar,,,
NJD,Erik Haula,Jesper Bratt,-0.02,24,9,Erik Haula-Jesper Bratt,0.11,83.0,35.0
UTA,Kevin Stenlund,Michael Kesselring,-0.02,2,9,Kevin Stenlund-Michael Kesselring,,,
NJD,Brenden Dillon,Dawson Mercer,-0.02,11,4,Brenden Dillon-Dawson Mercer,,,
NYR,K'Andre Miller,Kaapo Kakko,-0.02,8,2,K'Andre Miller-Kaapo Kakko,0.12,19.0,30.0
WPG,Morgan Barron,Nikolaj Ehlers,-0.02,1,20,Morgan Barron-Nikolaj Ehlers,-0.12,61.0,18.0
SJS,Alexander Wennberg,Tyler Toffoli,-0.02,14,7,Alexander Wennberg-Tyler Toffoli,,,
CHI,Jason Dickinson,Teuvo Teravainen,-0.02,5,8,Jason Dickinson-Teuvo Teravainen,,,
CHI,Nick Foligno,Taylor Hall,-0.02,7,6,Nick Foligno-Taylor Hall,-0.25,37.0,4.0
NYR,Artemi Panarin,Sam Carrick,-0.02,4,23,Artemi Panarin-Sam Carrick,,,
SEA,Jaden Schwartz,Will Borgen,-0.02,10,2,Jaden Schwartz-Will Borgen,0.19,30.0,25.0
WPG,Adam Lowry,Neal Pionk,-0.02,12,17,Adam Lowry-Neal Pionk,0.13,35.0,33.0
MTL,Jayden Struble,Mike Matheson,-0.02,12,3,Jayden Struble-Mike Matheson,,,
NYR,Adam Edstrom,Chris Kreider,-0.02,2,8,Adam Edstrom-Chris Kreider,-0.0,2.0,75.0
TBL,Anthony Cirelli,Michael Eyssimont,-0.02,16,1,Anthony Cirelli-Michael Eyssimont,0.11,45.0,25.0
WPG,Nikolaj Ehlers,Rasmus Kupari,-0.02,20,2,Nikolaj Ehlers-Rasmus Kupari,-0.14,61.0,1.0
NYI,Anders Lee,Brock Nelson,-0.02,13,10,Anders Lee-Brock Nelson,0.22,37.0,69.0
SJS,Alexander Wennberg,Cody Ceci,-0.02,7,3,Alexander Wennberg-Cody Ceci,,,
NSH,Colton Sissons,Jonathan Marchessault,-0.02,9,2,Colton Sissons-Jonathan Marchessault,,,
DAL,Logan Stankoven,Wyatt Johnston,-0.02,7,14,Logan Stankoven-Wyatt Johnston,0.63,65.0,14.0
MIN,Matt Boldy,Yakov Trenin,-0.02,18,1,Matt Boldy-Yakov Trenin,,,
NJD,Jack Hughes,Tomas Tatar,-0.02,22,5,Jack Hughes-Tomas Tatar,,,
STL,Justin Faulk,Ryan Suter,-0.02,5,4,Justin Faulk-Ryan Suter,,,
MTL,Cole Caufield,Emil Heineman,-0.02,5,15,Cole Caufield-Emil Heineman,,,
PHI,Owen Tippett,Tyson Foerster,-0.02,4,9,Owen Tippett-Tyson Foerster,0.06,33.0,53.0
WSH,Nic Dowd,Pierre-Luc Dubois,-0.02,6,11,Nic Dowd-Pierre-Luc Dubois,,,
CBJ,Ivan Provorov,Kevin Labanc,-0.02,10,5,Ivan Provorov-Kevin Labanc,,,
CBJ,Damon Severson,Zach Werenski,-0.02,8,13,Damon Severson-Zach Werenski,0.24,28.0,57.0
WSH,Connor McMichael,Nic Dowd,-0.02,6,19,Connor McMichael-Nic Dowd,-0.1,22.0,33.0
WPG,Cole Perfetti,Dylan DeMelo,-0.02,13,3,Cole Perfetti-Dylan DeMelo,0.01,31.0,38.0
UTA,Kevin Stenlund,Matias Maccelli,-0.02,9,2,Kevin Stenlund-Matias Maccelli,,,
MTL,Christian Dvorak,Jake Evans,-0.02,8,7,Christian Dvorak-Jake Evans,-0.08,9.0,28.0
DAL,Esa Lindell,Tyler Seguin,-0.02,14,7,Esa Lindell-Tyler Seguin,0.18,52.0,26.0
TBL,Nikita Kucherov,Ryan McDonagh,-0.02,26,5,Nikita Kucherov-Ryan McDonagh,,,
LAK,Andre Lee,Warren Foegele,-0.02,10,2,Andre Lee-Warren Foegele,,,
STL,Justin Faulk,Radek Faksa,-0.02,4,5,Justin Faulk-Radek Faksa,,,
BOS,Andrew Peeke,Elias Lindholm,-0.02,9,2,Andrew Peeke-Elias Lindholm,,,
BOS,Andrew Peeke,Cole Koepke,-0.02,8,2,Andrew Peeke-Cole Koepke,,,
NJD,Nathan Bastian,Stefan Noesen,-0.02,5,16,Nathan Bastian-Stefan Noesen,,,
LAK,Joel Edmundson,Mikey Anderson,-0.02,7,6,Joel Edmundson-Mikey Anderson,,,
CGY,Matt Coronato,Ryan Lomberg,-0.02,7,2,Matt Coronato-Ryan Lomberg,,,
MIN,Jon Merrill,Matt Boldy,-0.02,18,1,Jon Merrill-Matt Boldy,0.08,11.0,69.0
MIN,Marco Rossi,Marcus Foligno,-0.02,5,14,Marco Rossi-Marcus Foligno,0.09,22.0,40.0
PHI,Bobby Brink,Morgan Frost,-0.02,8,6,Bobby Brink-Morgan Frost,,,
VAN,Erik Brannstrom,Teddy Blueger,-0.02,9,5,Erik Brannstrom-Teddy Blueger,,,
MIN,Frederick Gaudreau,Zach Bogosian,-0.02,9,4,Frederick Gaudreau-Zach Bogosian,-0.05,15.0,14.0
VGK,Mark Stone,Tanner Pearson,-0.03,7,21,Mark Stone-Tanner Pearson,,,
SEA,Chandler Stephenson,Yanni Gourde,-0.03,6,10,Chandler Stephenson-Yanni Gourde,,,
NJD,Dougie Hamilton,Erik Haula,-0.03,9,15,Dougie Hamilton-Erik Haula,0.1,35.0,16.0
TOR,Oliver Ekman-Larsson,William Nylander,-0.03,20,7,Oliver Ekman-Larsson-William Nylander,,,
CAR,Jack Roslovic,Jesperi Kotkaniemi,-0.03,10,10,Jack Roslovic-Jesperi Kotkaniemi,,,
CHI,Connor Bedard,Patrick Maroon,-0.03,13,3,Connor Bedard-Patrick Maroon,,,
CGY,MacKenzie Weegar,Matt Coronato,-0.03,7,8,MacKenzie Weegar-Matt Coronato,,,
VGK,Noah Hanifin,Tanner Pearson,-0.03,7,8,Noah Hanifin-Tanner Pearson,,,
PIT,Bryan Rust,Matt Grzelcyk,-0.03,7,7,Bryan Rust-Matt Grzelcyk,,,
MIN,Marcus Foligno,Matt Boldy,-0.03,18,5,Marcus Foligno-Matt Boldy,-0.03,69.0,22.0
ANA,Alex Killorn,Isac Lundestrom,-0.03,5,3,Alex Killorn-Isac Lundestrom,0.09,36.0,11.0
VAN,Jake DeBrusk,Nils Hoglander,-0.03,10,5,Jake DeBrusk-Nils Hoglander,,,
MIN,Declan Chisholm,Joel Eriksson Ek,-0.03,8,4,Declan Chisholm-Joel Eriksson Ek,-0.12,9.0,64.0
TOR,Chris Tanev,Oliver Ekman-Larsson,-0.03,7,3,Chris Tanev-Oliver Ekman-Larsson,,,
BOS,Hampus Lindholm,Mason Lohrei,-0.03,7,6,Hampus Lindholm-Mason Lohrei,-0.09,26.0,13.0
PHI,Erik Johnson,Sean Couturier,-0.03,9,2,Erik Johnson-Sean Couturier,,,
MIN,Brock Faber,Zach Bogosian,-0.03,4,9,Brock Faber-Zach Bogosian,0.09,14.0,47.0
STL,Dylan Holloway,Oskar Sundqvist,-0.03,8,2,Dylan Holloway-Oskar Sundqvist,,,
OTT,Brady Tkachuk,Travis Hamonic,-0.03,19,1,Brady Tkachuk-Travis Hamonic,0.04,74.0,6.0
WPG,Gabriel Vilardi,Nino Niederreiter,-0.03,12,14,Gabriel Vilardi-Nino Niederreiter,0.2,36.0,34.0
BUF,Connor Clifton,Jason Zucker,-0.03,12,3,Connor Clifton-Jason Zucker,,,
BUF,Mattias Samuelsson,Tage Thompson,-0.03,18,1,Mattias Samuelsson-Tage Thompson,0.03,56.0,7.0
MTL,Alex Newhook,Juraj Slafkovsky,-0.03,4,11,Alex Newhook-Juraj Slafkovsky,0.21,34.0,50.0
UTA,Barrett Hayton,Matias Maccelli,-0.03,8,9,Barrett Hayton-Matias Maccelli,,,
NYR,Adam Fox,Alexis Lafrenière,-0.03,13,13,Adam Fox-Alexis Lafrenière,0.04,57.0,73.0
DET,J.T. Compher,Lucas Raymond,-0.03,6,16,J.T. Compher-Lucas Raymond,0.32,48.0,72.0
WSH,Aliaksei Protas,Pierre-Luc Dubois,-0.03,11,15,Aliaksei Protas-Pierre-Luc Dubois,,,
COL,Miles Wood,Samuel Girard,-0.03,2,10,Miles Wood-Samuel Girard,0.27,26.0,18.0
PHI,Garnet Hathaway,Rasmus Ristolainen,-0.03,7,3,Garnet Hathaway-Rasmus Ristolainen,0.14,17.0,4.0
FLA,Eetu Luostarinen,Nate Schmidt,-0.03,7,6,Eetu Luostarinen-Nate Schmidt,,,
NYR,Mika Zibanejad,Sam Carrick,-0.03,4,12,Mika Zibanejad-Sam Carrick,,,
CHI,Jason Dickinson,Lukas Reichel,-0.03,5,6,Jason Dickinson-Lukas Reichel,,,
OTT,Adam Gaudette,Ridly Greig,-0.03,8,4,Adam Gaudette-Ridly Greig,,,
FLA,Adam Boqvist,Sam Reinhart,-0.03,28,2,Adam Boqvist-Sam Reinhart,,,
DET,J.T. Compher,Jonatan Berggren,-0.03,3,6,J.T. Compher-Jonatan Berggren,,,
PHI,Erik Johnson,Joel Farabee,-0.03,8,2,Erik Johnson-Joel Farabee,,,
EDM,Connor McDavid,Corey Perry,-0.03,21,4,Connor McDavid-Corey Perry,,,
ANA,Leo Carlsson,Radko Gudas,-0.03,9,2,Leo Carlsson-Radko Gudas,-0.08,29.0,18.0
NYR,Artemi Panarin,Reilly Smith,-0.03,23,10,Artemi Panarin-Reilly Smith,,,
PIT,Kevin Hayes,Rickard Rakell,-0.03,4,11,Kevin Hayes-Rickard Rakell,,,
DAL,Sam Steel,Tyler Seguin,-0.03,14,7,Sam Steel-Tyler Seguin,,,
BOS,Pavel Zacha,Trent Frederic,-0.03,6,7,Pavel Zacha-Trent Frederic,-0.19,40.0,59.0
PIT,Michael Bunting,Rickard Rakell,-0.03,6,11,Michael Bunting-Rickard Rakell,0.18,55.0,37.0
NYI,Kyle MacLean,Maxim Tsyplakov,-0.03,2,10,Kyle MacLean-Maxim Tsyplakov,,,
NYI,Brock Nelson,Kyle MacLean,-0.03,2,10,Brock Nelson-Kyle MacLean,0.27,9.0,69.0
DAL,Logan Stankoven,Miro Heiskanen,-0.03,14,6,Logan Stankoven-Miro Heiskanen,0.34,14.0,54.0
NYR,Reilly Smith,Will Cuylle,-0.04,11,10,Reilly Smith-Will Cuylle,,,
WSH,Martin Fehervary,Nic Dowd,-0.04,6,3,Martin Fehervary-Nic Dowd,-0.0,16.0,22.0
SEA,Jamie Oleksiak,Tye Kartye,-0.04,4,5,Jamie Oleksiak-Tye Kartye,0.1,20.0,15.0
DAL,Colin Blackwell,Jamie Benn,-0.04,8,4,Colin Blackwell-Jamie Benn,,,
COL,Logan O'Connor,Nikolai Kovalenko,-0.04,7,3,Logan O'Connor-Nikolai Kovalenko,,,
BOS,Cole Koepke,Hampus Lindholm,-0.04,8,7,Cole Koepke-Hampus Lindholm,,,
WSH,Jakub Vrana,John Carlson,-0.04,6,12,Jakub Vrana-John Carlson,,,
TOR,Pontus Holmberg,William Nylander,-0.04,2,20,Pontus Holmberg-William Nylander,0.12,17.0,98.0
CAR,Jordan Martinook,Sebastian Aho,-0.04,15,11,Jordan Martinook-Sebastian Aho,,,
WSH,Aliaksei Protas,Dylan McIlrath,-0.04,15,2,Aliaksei Protas-Dylan McIlrath,,,
DAL,Thomas Harley,Tyler Seguin,-0.04,14,8,Thomas Harley-Tyler Seguin,0.17,52.0,47.0
VAN,Filip Hronek,Tyler Myers,-0.04,6,3,Filip Hronek-Tyler Myers,0.06,48.0,29.0
BUF,Jordan Greenway,Rasmus Dahlin,-0.04,6,16,Jordan Greenway-Rasmus Dahlin,0.17,28.0,59.0
SJS,Alexander Wennberg,Luke Kunin,-0.04,6,7,Alexander Wennberg-Luke Kunin,,,
MTL,Alex Newhook,Emil Heineman,-0.04,5,4,Alex Newhook-Emil Heineman,,,
SJS,Jack Thompson,William Eklund,-0.04,13,5,Jack Thompson-William Eklund,,,
UTA,Clayton Keller,Ian Cole,-0.04,15,6,Clayton Keller-Ian Cole,,,
LAK,Mikey Anderson,Quinton Byfield,-0.04,9,7,Mikey Anderson-Quinton Byfield,0.05,55.0,18.0
TBL,Conor Geekie,Mitchell Chaffee,-0.04,6,3,Conor Geekie-Mitchell Chaffee,,,
SJS,Nico Sturm,William Eklund,-0.04,13,6,Nico Sturm-William Eklund,0.05,45.0,13.0
BUF,Sam Lafferty,Tage Thompson,-0.04,1,18,Sam Lafferty-Tage Thompson,,,
UTA,Matias Maccelli,Nick Schmaltz,-0.04,9,12,Matias Maccelli-Nick Schmaltz,,,
PIT,Cody Glass,Drew O'Connor,-0.04,4,6,Cody Glass-Drew O'Connor,,,
PIT,Anthony Beauvillier,Sidney Crosby,-0.04,9,19,Anthony Beauvillier-Sidney Crosby,,,
STL,Brayden Schenn,Nathan Walker,-0.04,9,4,Brayden Schenn-Nathan Walker,-0.15,46.0,13.0
CAR,Jalen Chatfield,Martin Necas,-0.04,26,4,Jalen Chatfield-Martin Necas,0.18,53.0,22.0
NSH,Cole Smith,Filip Forsberg,-0.04,13,3,Cole Smith-Filip Forsberg,-0.01,94.0,23.0
BOS,David Pastrnak,Trent Frederic,-0.04,6,17,David Pastrnak-Trent Frederic,0.11,40.0,110.0
LAK,Alex Turcotte,Brandt Clarke,-0.04,5,13,Alex Turcotte-Brandt Clarke,,,
LAK,Andre Lee,Brandt Clarke,-0.04,2,13,Andre Lee-Brandt Clarke,,,
TOR,David Kampf,Oliver Ekman-Larsson,-0.04,3,7,David Kampf-Oliver Ekman-Larsson,,,
CHI,Ilya Mikheyev,Tyler Bertuzzi,-0.04,6,3,Ilya Mikheyev-Tyler Bertuzzi,,,
PHI,Egor Zamula,Erik Johnson,-0.04,2,6,Egor Zamula-Erik Johnson,,,
COL,Devon Toews,Joel Kiviranta,-0.04,5,4,Devon Toews-Joel Kiviranta,,,
COL,Nathan MacKinnon,Sam Malinski,-0.04,33,4,Nathan MacKinnon-Sam Malinski,-0.05,140.0,10.0
DAL,Ilya Lyubushkin,Mason Marchment,-0.04,17,5,Ilya Lyubushkin-Mason Marchment,,,
DAL,Colin Blackwell,Thomas Harley,-0.04,4,8,Colin Blackwell-Thomas Harley,,,
STL,Mathieu Joseph,Philip Broberg,-0.04,4,9,Mathieu Joseph-Philip Broberg,,,
VAN,Nils Hoglander,Quinn Hughes,-0.04,5,17,Nils Hoglander-Quinn Hughes,0.2,36.0,92.0
CGY,Andrei Kuzmenko,Rasmus Andersson,-0.04,9,11,Andrei Kuzmenko-Rasmus Andersson,0.28,46.0,39.0
WPG,Dylan Samberg,Logan Stanley,-0.04,6,3,Dylan Samberg-Logan Stanley,-0.14,18.0,2.0
BUF,Alex Tuch,Jason Zucker,-0.04,17,12,Alex Tuch-Jason Zucker,,,
CBJ,James van Riemsdyk,Zachary Aston-Reese,-0.04,7,4,James van Riemsdyk-Zachary Aston-Reese,,,
SEA,Brandon Tanev,Jaden Schwartz,-0.04,10,8,Brandon Tanev-Jaden Schwartz,0.18,30.0,16.0
UTA,Matias Maccelli,Nick Bjugstad,-0.04,4,9,Matias Maccelli-Nick Bjugstad,,,
NYR,Jonny Brodzinski,Mika Zibanejad,-0.04,2,12,Jonny Brodzinski-Mika Zibanejad,0.28,19.0,72.0
OTT,Claude Giroux,Zack MacEwen,-0.04,12,3,Claude Giroux-Zack MacEwen,0.15,64.0,3.0
DET,Lucas Raymond,Vladimir Tarasenko,-0.04,16,6,Lucas Raymond-Vladimir Tarasenko,,,
TBL,Brandon Hagel,Michael Eyssimont,-0.04,1,17,Brandon Hagel-Michael Eyssimont,0.07,25.0,75.0
TBL,Brayden Point,Michael Eyssimont,-0.04,1,13,Brayden Point-Michael Eyssimont,0.11,25.0,90.0
WPG,Adam Lowry,Kyle Connor,-0.04,22,12,Adam Lowry-Kyle Connor,0.16,61.0,35.0
SJS,Cody Ceci,Tyler Toffoli,-0.04,14,3,Cody Ceci-Tyler Toffoli,,,
STL,Radek Faksa,Zack Bolduc,-0.04,4,4,Radek Faksa-Zack Bolduc,,,
DAL,Ilya Lyubushkin,Logan Stankoven,-0.04,14,5,Ilya Lyubushkin-Logan Stankoven,,,
SJS,Fabian Zetterlund,Jack Thompson,-0.04,13,5,Fabian Zetterlund-Jack Thompson,,,
NYR,Adam Fox,Jacob Trouba,-0.04,13,5,Adam Fox-Jacob Trouba,-0.03,73.0,22.0
VGK,Cole Schwindt,Mark Stone,-0.04,5,21,Cole Schwindt-Mark Stone,,,
BOS,John Beecher,Justin Brazeau,-0.04,6,7,John Beecher-Justin Brazeau,0.15,10.0,7.0
PIT,Drew O'Connor,Kevin Hayes,-0.04,4,6,Drew O'Connor-Kevin Hayes,,,
TOR,Conor Timmins,Oliver Ekman-Larsson,-0.05,7,4,Conor Timmins-Oliver Ekman-Larsson,,,
FLA,Carter Verhaeghe,Jesper Boqvist,-0.05,5,12,Carter Verhaeghe-Jesper Boqvist,,,
PHI,Morgan Frost,Tyson Foerster,-0.05,4,6,Morgan Frost-Tyson Foerster,-0.03,33.0,41.0
BUF,Dylan Cozens,Jordan Greenway,-0.05,7,6,Dylan Cozens-Jordan Greenway,0.38,28.0,47.0
PHI,Travis Sanheim,Tyson Foerster,-0.05,4,11,Travis Sanheim-Tyson Foerster,0.26,33.0,44.0
VGK,Noah Hanifin,Pavel Dorofeyev,-0.05,12,8,Noah Hanifin-Pavel Dorofeyev,-0.01,24.0,47.0
CAR,Andrei Svechnikov,Jesperi Kotkaniemi,-0.05,10,15,Andrei Svechnikov-Jesperi Kotkaniemi,0.34,27.0,52.0
CAR,Jesperi Kotkaniemi,Jordan Staal,-0.05,10,7,Jesperi Kotkaniemi-Jordan Staal,0.16,27.0,30.0
CAR,Jack Roslovic,Seth Jarvis,-0.05,11,10,Jack Roslovic-Seth Jarvis,,,
LAK,Andreas Englund,Anze Kopitar,-0.05,21,1,Andreas Englund-Anze Kopitar,0.02,70.0,10.0
WSH,John Carlson,Taylor Raddysh,-0.05,7,12,John Carlson-Taylor Raddysh,,,
CBJ,Damon Severson,Mathieu Olivier,-0.05,7,8,Damon Severson-Mathieu Olivier,0.11,12.0,28.0
COL,Devon Toews,Sam Malinski,-0.05,4,4,Devon Toews-Sam Malinski,0.1,50.0,10.0
TOR,Bobby McMann,David Kampf,-0.05,3,7,Bobby McMann-David Kampf,0.19,19.0,24.0
NSH,Colton Sissons,Ryan O'Reilly,-0.05,10,2,Colton Sissons-Ryan O'Reilly,-0.21,69.0,35.0
NJD,Nathan Bastian,Nico Hischier,-0.05,5,20,Nathan Bastian-Nico Hischier,0.27,12.0,67.0
FLA,A.J. Greer,Niko Mikkola,-0.05,5,8,A.J. Greer-Niko Mikkola,,,
TOR,Jake McCabe,Morgan Rielly,-0.05,5,13,Jake McCabe-Morgan Rielly,-0.08,28.0,58.0
BOS,Morgan Geekie,Pavel Zacha,-0.05,4,7,Morgan Geekie-Pavel Zacha,0.01,39.0,59.0
CGY,Andrei Kuzmenko,Blake Coleman,-0.05,9,9,Andrei Kuzmenko-Blake Coleman,-0.16,54.0,46.0
CAR,Sean Walker,Shayne Gostisbehere,-0.05,12,3,Sean Walker-Shayne Gostisbehere,,,
STL,Jordan Kyrou,Radek Faksa,-0.05,4,15,Jordan Kyrou-Radek Faksa,,,
PIT,Cody Glass,Noel Acciari,-0.05,5,4,Cody Glass-Noel Acciari,,,
NYI,Oliver Wahlstrom,Simon Holmstrom,-0.05,8,2,Oliver Wahlstrom-Simon Holmstrom,0.17,25.0,6.0
DAL,Brendan Smith,Thomas Harley,-0.05,8,3,Brendan Smith-Thomas Harley,,,
WPG,Kyle Connor,Morgan Barron,-0.05,1,22,Kyle Connor-Morgan Barron,0.17,61.0,18.0
WPG,Colin Miller,Kyle Connor,-0.05,22,7,Colin Miller-Kyle Connor,,,
STL,Alexey Toropchenko,Justin Faulk,-0.05,4,5,Alexey Toropchenko-Justin Faulk,0.14,21.0,30.0
ANA,Brock McGinn,Cutter Gauthier,-0.05,6,6,Brock McGinn-Cutter Gauthier,,1.0,3.0
SJS,Fabian Zetterlund,Henry Thrun,-0.05,13,5,Fabian Zetterlund-Henry Thrun,0.1,44.0,11.0
NYI,Maxim Tsyplakov,Noah Dobson,-0.05,10,8,Maxim Tsyplakov-Noah Dobson,,,
VGK,Noah Hanifin,Shea Theodore,-0.05,8,13,Noah Hanifin-Shea Theodore,-0.02,47.0,42.0
NYR,Braden Schneider,Jacob Trouba,-0.05,7,5,Braden Schneider-Jacob Trouba,0.05,19.0,22.0
MTL,Brendan Gallagher,Cole Caufield,-0.05,9,15,Brendan Gallagher-Cole Caufield,0.06,65.0,31.0
CHI,Craig Smith,Philipp Kurashev,-0.05,4,6,Craig Smith-Philipp Kurashev,,,
BOS,Brad Marchand,John Beecher,-0.05,6,13,Brad Marchand-John Beecher,-0.06,10.0,67.0
WPG,Adam Lowry,Logan Stanley,-0.05,12,3,Adam Lowry-Logan Stanley,-0.2,35.0,2.0
MTL,Justin Barron,Nick Suzuki,-0.05,18,1,Justin Barron-Nick Suzuki,,,
WPG,Mark Scheifele,Neal Pionk,-0.05,21,17,Mark Scheifele-Neal Pionk,0.13,33.0,72.0
MTL,Cole Caufield,Justin Barron,-0.05,15,1,Cole Caufield-Justin Barron,,,
MTL,Alex Newhook,Cole Caufield,-0.05,15,4,Alex Newhook-Cole Caufield,-0.04,65.0,34.0
NJD,Dougie Hamilton,Tomas Tatar,-0.06,5,15,Dougie Hamilton-Tomas Tatar,,,
DET,Joe Veleno,Patrick Kane,-0.06,10,2,Joe Veleno-Patrick Kane,0.15,47.0,28.0
CBJ,Kirill Marchenko,Zachary Aston-Reese,-0.06,7,16,Kirill Marchenko-Zachary Aston-Reese,,,
WPG,Colin Miller,Gabriel Vilardi,-0.06,14,7,Colin Miller-Gabriel Vilardi,,,
WPG,Josh Morrissey,Neal Pionk,-0.06,17,17,Josh Morrissey-Neal Pionk,0.15,69.0,33.0
MTL,Christian Dvorak,Kaiden Guhle,-0.06,7,5,Christian Dvorak-Kaiden Guhle,0.23,9.0,22.0
CGY,Blake Coleman,Martin Pospisil,-0.06,9,5,Blake Coleman-Martin Pospisil,-0.07,54.0,24.0
TOR,Max Pacioretty,Morgan Rielly,-0.06,6,13,Max Pacioretty-Morgan Rielly,,,
PHI,Egor Zamula,Owen Tippett,-0.06,9,6,Egor Zamula-Owen Tippett,0.23,21.0,53.0
NSH,Filip Forsberg,Michael McCarron,-0.06,13,3,Filip Forsberg-Michael McCarron,0.05,94.0,22.0
VGK,Cole Schwindt,Jack Eichel,-0.06,27,5,Cole Schwindt-Jack Eichel,,,
BOS,Charlie Coyle,Trent Frederic,-0.06,6,4,Charlie Coyle-Trent Frederic,0.31,60.0,40.0
BOS,Charlie McAvoy,Mark Kastelic,-0.06,7,7,Charlie McAvoy-Mark Kastelic,,,
TBL,Conor Geekie,Emil Lilleberg,-0.06,3,5,Conor Geekie-Emil Lilleberg,,,
TOR,Mitch Marner,Simon Benoit,-0.06,24,2,Mitch Marner-Simon Benoit,0.3,85.0,5.0
COL,Mikko Rantanen,Sam Malinski,-0.06,25,4,Mikko Rantanen-Sam Malinski,0.17,104.0,10.0
CAR,Dmitry Orlov,Jordan Martinook,-0.06,11,8,Dmitry Orlov-Jordan Martinook,,,
