PlayerID,shooterName,Correlation,TotalShots,TeamAbbrev_x
8482073,Braden Schneider,0.052263274330322906,79,NYR
8477456,J.T. Compher,0.22755092105232733,79,DET
8482684,Luke Hughes,0.05108811412463316,79,NJD
8482125,Alexander Holtz,0.24701286122105146,79,NJD
8475848,Brendan Gallagher,0.012271464199658811,79,MTL
8478891,Mason Appleton,-0.11181842520378177,78,WPG
8480068,Ryan Poehling,-0.01848448107183259,78,PHI
8481596,Shane Pinto,0.1413920045424545,78,OTT
8473986,Alex Killorn,0.4599143191957427,78,ANA
8479992,Michael Rasmussen,0.21172892979072686,77,DET
8477932,Aaron Ekblad,0.3514219417066859,77,FLA
8480459,Pius Suter,0.14579460945600609,77,VAN
8482122,Brock Faber,0.1668722023833704,77,MIN
8471698,T.J. Oshie,0.014286785388493511,77,WSH
8480817,K'Andre Miller,0.13621844200332126,75,NYR
8481604,Pavel Dorofeyev,0.06734009573154955,75,VGK
8476467,Jamie Oleksiak,0.18824837927591018,75,SEA
8482092,Ridly Greig,0.17450987923047978,75,OTT
8480074,Alexandre Texier,0.14322832843744854,75,CBJ
8478882,Vladislav Gavrikov,0.07077560594724024,75,LAK
8484166,Adam Fantilli,0.2705018380614424,75,CBJ
8477952,Robby Fabbri,0.1280672476687502,74,DET
8476372,Nick Seeler,-0.06783689006710399,74,PHI
8476854,Hampus Lindholm,0.15818332310609487,74,BOS
8480835,Jack Drury,-0.041499441361994356,74,CAR
8484153,Leo Carlsson,0.5469453060991263,74,ANA
8481014,Alexander Romanov,-0.04447952370027213,74,NYI
8475764,Cam Fowler,0.1515294127325456,73,ANA
8482475,Yegor Chinakhov,0.17403078528819352,72,CBJ
8481560,Arthur Kaliyev,0.30987649672642703,72,LAK
8476419,Jean-Gabriel Pageau,0.029012942659282986,72,NYI
8478413,Jordan Greenway,0.025058072087536715,72,BUF
8474574,Tyler Myers,0.25252550097426424,72,VAN
8475744,Evgeny Kuznetsov,0.19999999999999998,72,CAR
8478840,Will Borgen,0.22562396774183127,72,SEA
8476392,Adam Lowry,0.20487165964385382,72,WPG
8480281,Alexey Toropchenko,0.2903929746936396,72,STL
8475744,Evgeny Kuznetsov,0.19999999999999998,72,WSH
8478178,Darren Raddysh,-0.014153462926807412,72,TBL
8484145,Zach Benson,0.2403879592085227,71,BUF
8475913,Mark Stone,0.12821892839733537,71,VGK
8475279,Ben Chiarot,0.11562895222899726,71,DET
8478500,Ivan Provorov,-0.008372547629611812,71,CBJ
8479316,Luke Kunin,-0.015515275574530878,71,SJS
8479980,Nicolas Hague,0.09018882655514646,70,VGK
8476374,Sean Kuraly,0.15625709811663716,70,CBJ
8476927,Teddy Blueger,0.08167914637852536,70,VAN
8481789,Tye Kartye,0.16582919430365237,69,SEA
8475790,Erik Gudbranson,0.11170801428324108,69,CBJ
8481554,Kaapo Kakko,0.2830889839296111,69,NYR
8482074,Connor Zary,0.30459298421879805,69,CGY
8477447,Shea Theodore,0.24356137348823592,69,VGK
8478438,Tommy Novak,0.19570925475147216,68,NSH
8475714,Calle Jarnkrok,0.12388755939044406,68,TOR
8481582,Nicholas Robertson,0.1763778812072575,67,TOR
8477380,Jonny Brodzinski,0.02689921246846287,67,NYR
8473507,Jeff Petry,0.33263969772609203,66,DET
8475149,Marcus Johansson,0.12396832587949752,66,MIN
8476292,Ondrej Palat,0.39297267585758583,66,NJD
8477506,Ryan Pulock,0.22263780490101515,65,NYI
8482062,Cole Smith,0.1508422997401518,65,NSH
8478859,Niko Mikkola,0.1266030919334735,65,FLA
8481524,Bowen Byram,0.23639228041627677,64,BUF
8477919,Frederick Gaudreau,0.03603896863699031,64,MIN
8481524,Bowen Byram,0.23639228041627677,64,COL
8475188,Brayden McNabb,0.3541954947925957,63,VGK
8479998,Mikey Anderson,0.29724005172864637,63,LAK
8479336,Carl Grundstrom,0.14242238909566102,63,LAK
8477903,Garnet Hathaway,0.06233141374003422,63,PHI
8477435,Ryan Graves,0.11098069896392795,63,PIT
8478468,Jeremy Lauzon,0.3277409112125908,63,NSH
8479398,Samuel Girard,0.021832316252600938,63,COL
8480144,David Kampf,-0.13532125887406415,62,TOR
8481032,Paul Cotter,0.30190294400809725,62,VGK
8480802,Ryan McLeod,0.36892546572972407,61,EDM
8483466,Kevin Korchinski,0.16201560913491642,61,CHI
8477845,Trevor van Riemsdyk,0.3834833663040758,60,WSH
8480014,Gabriel Vilardi,0.4127769902600772,60,WPG
8482087,Kaiden Guhle,-0.044893312252727496,60,MTL
8480813,Joe Veleno,-0.03223356259467381,60,DET
8476967,Brett Kulak,0.15877926318879051,59,EDM
8480035,Henri Jokiharju,0.14586385801568763,59,BUF
8478133,Jake Evans,0.19148813170150164,58,MTL
8478443,Brandon Carlo,0.20980427397385154,58,BOS
8476879,Cody Ceci,0.2308076589272511,58,EDM
8477335,Kyle Burroughs,0.21020510512616808,58,SJS
8476923,Damon Severson,0.20671119991622555,58,CBJ
8474568,Luke Schenn,0.05645969130397185,57,NSH
8483490,Pavel Mintyukov,0.37838331970966194,57,ANA
8478057,Dakota Joshua,-0.23671372983694083,57,VAN
8474151,Ryan McDonagh,0.10928568076913739,57,NSH
8477446,Michael McCarron,0.06709951129499586,57,NSH
8477444,Andre Burakovsky,0.18330429675611348,57,SEA
8480873,Rasmus Sandin,0.18238514365717404,57,WSH
8476931,Jake McCabe,-0.0028729494514855357,56,TOR
8476480,Vladislav Namestnikov,0.025482359571881302,56,WPG
8476889,Radek Faksa,0.11748052025924269,56,DAL
8479996,Cody Glass,0.42026325620835125,55,NSH
8479941,Justin Danforth,0.18092122644293207,55,CBJ
8475324,Nick Jensen,0.06533920302186044,55,WSH
8475793,Ryan Johansen,0.01714733703242967,55,COL
8479324,Ryan Lindgren,0.24678641249527372,54,NYR
8478970,Jalen Chatfield,0.2120414572975722,54,CAR
8479353,Brett Howden,0.2557107127473838,53,VGK
8480289,Morgan Barron,0.08490846165962856,53,WPG
8476462,Dougie Hamilton,0.1887595113400095,53,NJD
8475855,Jesper Fast,0.19941570486923724,52,CAR
8475231,Casey Cizikas,0.09914281547590578,52,NYI
8474149,Evgenii Dadonov,0.3511357124105866,51,DAL
8477220,Nate Schmidt,0.18207948842858943,51,WPG
8481618,Alex Newhook,0.20552707683014632,51,MTL
8478136,Jake Middleton,0.3122355511893598,51,MIN
8475462,Radko Gudas,0.14283305430746365,51,ANA
8482655,J.J. Moser,0.247679632874373,51,ARI
8475343,Nic Dowd,-0.07419290502442467,50,WSH
8481186,Logan O'Connor,0.20465780403866032,50,COL
8481477,Nico Sturm,0.16930909121789062,50,SJS
8476822,Luke Glendening,0.1540294326516486,50,TBL
