Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
CBJ,Ivan Provorov,Zach Werenski,0.22,32,57,Ivan Provorov-Zach Werenski
ANA,Olen Zellweger,Trevor Zegras,0.22,15,9,Olen Zellweger-Trevor Zegras
PHI,Sean Couturier,Tyson Foerster,0.22,38,33,Sean Couturier-Tyson Foerster
SJS,Henry Thrun,Klim Kostin,0.22,14,11,Henry Thrun-Klim Kostin
VAN,Ilya Mikheyev,Mark Friedman,0.22,31,1,Ilya Mikheyev-Mark Friedman
FLA,Aaron Ekblad,Evan Rodrigues,0.22,39,18,Aaron Ekblad-Evan Rodrigues
COL,Devon Toews,Miles Wood,0.22,26,50,Devon Toews-Miles Wood
NJD,Jesper Bratt,Ondrej Palat,0.22,83,31,Jesper Bratt-Ondrej Palat
MTL,Joel Armia,Juraj Slafkovsky,0.22,25,50,Joel Armia-Juraj Slafkovsky
MTL,Joel Armia,Rafael Harvey-Pinard,0.22,25,10,Joel Armia-Rafael Harvey-Pinard
CBJ,Alexandre Texier,Kirill Marchenko,0.22,42,30,Alexandre Texier-Kirill Marchenko
PIT,John Ludvig,Reilly Smith,0.22,40,5,John Ludvig-Reilly Smith
ANA,Alex Killorn,Trevor Zegras,0.22,36,15,Alex Killorn-Trevor Zegras
ANA,Frank Vatrano,Ross Johnston,0.22,4,60,Frank Vatrano-Ross Johnston
NYI,Alexander Romanov,Brock Nelson,0.22,69,22,Alexander Romanov-Brock Nelson
LAK,Arthur Kaliyev,Phillip Danault,0.22,47,15,Arthur Kaliyev-Phillip Danault
CHI,Philipp Kurashev,Ryan Donato,0.22,30,54,Philipp Kurashev-Ryan Donato
WPG,Axel Jonsson-Fjallby,Dylan Samberg,0.22,5,18,Axel Jonsson-Fjallby-Dylan Samberg
MIN,Brock Faber,Marco Rossi,0.22,40,47,Brock Faber-Marco Rossi
MIN,Connor Dewar,Marcus Foligno,0.22,22,19,Connor Dewar-Marcus Foligno
MIN,Marcus Johansson,Zach Bogosian,0.22,30,14,Marcus Johansson-Zach Bogosian
LAK,Kevin Fiala,Trevor Moore,0.22,73,57,Kevin Fiala-Trevor Moore
CGY,Joel Hanley,Rasmus Andersson,0.22,39,5,Joel Hanley-Rasmus Andersson
NYI,Anders Lee,Bo Horvat,0.22,68,37,Anders Lee-Bo Horvat
DET,Jake Walman,Joe Veleno,0.22,28,21,Jake Walman-Joe Veleno
CGY,Andrei Kuzmenko,Nikita Okhotiuk,0.22,46,9,Andrei Kuzmenko-Nikita Okhotiuk
DET,Joe Veleno,Klim Kostin,0.22,28,14,Joe Veleno-Klim Kostin
DET,Michael Rasmussen,Moritz Seider,0.22,33,42,Michael Rasmussen-Moritz Seider
DET,Dylan Larkin,Jeff Petry,0.22,69,24,Dylan Larkin-Jeff Petry
NYI,Anders Lee,Brock Nelson,0.22,37,69,Anders Lee-Brock Nelson
SEA,Jared McCann,Tye Kartye,0.22,20,62,Jared McCann-Tye Kartye
CBJ,Kent Johnson,Kirill Marchenko,0.22,16,42,Kent Johnson-Kirill Marchenko
TOR,Bobby McMann,Nicholas Robertson,0.22,24,27,Bobby McMann-Nicholas Robertson
NSH,Luke Schenn,Ryan O'Reilly,0.22,7,69,Luke Schenn-Ryan O'Reilly
SEA,Jared McCann,Oliver Bjorkstrand,0.22,59,62,Jared McCann-Oliver Bjorkstrand
VAN,Brock Boeser,Pius Suter,0.21,73,29,Brock Boeser-Pius Suter
CGY,Martin Pospisil,Walker Duehr,0.21,7,24,Martin Pospisil-Walker Duehr
STL,Nick Leddy,Nikita Alexandrov,0.21,2,28,Nick Leddy-Nikita Alexandrov
MTL,Alex Newhook,Juraj Slafkovsky,0.21,34,50,Alex Newhook-Juraj Slafkovsky
MTL,Brendan Gallagher,David Savard,0.21,31,24,Brendan Gallagher-David Savard
VGK,Brayden McNabb,Ivan Barbashev,0.21,45,26,Brayden McNabb-Ivan Barbashev
NYI,Casey Cizikas,Ryan Pulock,0.21,23,19,Casey Cizikas-Ryan Pulock
TOR,David Kampf,Pontus Holmberg,0.21,17,19,David Kampf-Pontus Holmberg
TOR,Connor Dewar,Jake McCabe,0.21,19,28,Connor Dewar-Jake McCabe
NYI,Julien Gauthier,Pierre Engvall,0.21,28,9,Julien Gauthier-Pierre Engvall
CGY,Dryden Hunt,Mikael Backlund,0.21,39,8,Dryden Hunt-Mikael Backlund
PHI,Garnet Hathaway,Noah Cates,0.21,18,17,Garnet Hathaway-Noah Cates
SJS,Collin Graf,Henry Thrun,0.21,2,11,Collin Graf-Henry Thrun
LAK,Anze Kopitar,Jacob Moverare,0.21,70,1,Anze Kopitar-Jacob Moverare
TBL,Darren Raddysh,Luke Glendening,0.21,11,33,Darren Raddysh-Luke Glendening
STL,Alexey Toropchenko,Jake Neighbours,0.21,38,21,Alexey Toropchenko-Jake Neighbours
NYR,Adam Fox,Vincent Trocheck,0.21,77,73,Adam Fox-Vincent Trocheck
VAN,Andrei Kuzmenko,J.T. Miller,0.21,46,103,Andrei Kuzmenko-J.T. Miller
STL,Colton Parayko,Jordan Kyrou,0.21,67,26,Colton Parayko-Jordan Kyrou
TOR,Matthew Knies,Mitch Marner,0.21,35,85,Matthew Knies-Mitch Marner
TOR,David Kampf,Jake McCabe,0.21,19,28,David Kampf-Jake McCabe
CAR,Jaccob Slavin,Jordan Staal,0.21,30,37,Jaccob Slavin-Jordan Staal
NYI,Alexander Romanov,Mathew Barzal,0.21,80,22,Alexander Romanov-Mathew Barzal
PHI,Travis Konecny,Tyson Foerster,0.21,33,68,Travis Konecny-Tyson Foerster
BOS,Parker Wotherspoon,Trent Frederic,0.21,40,8,Parker Wotherspoon-Trent Frederic
NJD,Jonas Siegenthaler,Ondrej Palat,0.21,31,9,Jonas Siegenthaler-Ondrej Palat
CBJ,Mathieu Olivier,Zach Werenski,0.21,12,57,Mathieu Olivier-Zach Werenski
SJS,Kyle Burroughs,Tomas Hertl,0.21,8,38,Kyle Burroughs-Tomas Hertl
VGK,Brayden McNabb,Shea Theodore,0.21,26,42,Brayden McNabb-Shea Theodore
BUF,Alex Tuch,Jack Quinn,0.21,59,19,Alex Tuch-Jack Quinn
CGY,Blake Coleman,Walker Duehr,0.21,54,7,Blake Coleman-Walker Duehr
SJS,Henry Thrun,Tomas Hertl,0.21,38,11,Henry Thrun-Tomas Hertl
BUF,Alex Tuch,Jordan Greenway,0.21,28,59,Alex Tuch-Jordan Greenway
DAL,Miro Heiskanen,Wyatt Johnston,0.21,65,54,Miro Heiskanen-Wyatt Johnston
OTT,Artem Zub,Jacob Bernard-Docker,0.21,25,14,Artem Zub-Jacob Bernard-Docker
LAK,Carl Grundstrom,Mikey Anderson,0.21,18,12,Carl Grundstrom-Mikey Anderson
LAK,Andreas Englund,Pierre-Luc Dubois,0.21,10,40,Andreas Englund-Pierre-Luc Dubois
TBL,Michael Eyssimont,Nikita Kucherov,0.21,25,144,Michael Eyssimont-Nikita Kucherov
STL,Brayden Schenn,Torey Krug,0.21,46,39,Brayden Schenn-Torey Krug
EDM,Leon Draisaitl,Ryan Nugent-Hopkins,0.21,106,67,Leon Draisaitl-Ryan Nugent-Hopkins
NYR,Barclay Goodrow,Jonny Brodzinski,0.21,19,12,Barclay Goodrow-Jonny Brodzinski
BUF,Alex Tuch,Owen Power,0.21,59,33,Alex Tuch-Owen Power
BUF,Bowen Byram,Dylan Cozens,0.21,47,29,Bowen Byram-Dylan Cozens
MIN,Joel Eriksson Ek,Jonas Brodin,0.21,27,64,Joel Eriksson Ek-Jonas Brodin
MIN,Brock Faber,Matt Boldy,0.21,47,69,Brock Faber-Matt Boldy
CBJ,Alexandre Texier,Yegor Chinakhov,0.21,29,30,Alexandre Texier-Yegor Chinakhov
CBJ,Ivan Provorov,Justin Danforth,0.21,26,32,Ivan Provorov-Justin Danforth
CBJ,Justin Danforth,Yegor Chinakhov,0.21,29,26,Justin Danforth-Yegor Chinakhov
BOS,Charlie Coyle,Morgan Geekie,0.21,60,39,Charlie Coyle-Morgan Geekie
MTL,Brendan Gallagher,Jake Evans,0.21,28,31,Brendan Gallagher-Jake Evans
NJD,Jack Hughes,Kevin Bahl,0.21,11,74,Jack Hughes-Kevin Bahl
CBJ,Adam Fantilli,Kirill Marchenko,0.21,27,42,Adam Fantilli-Kirill Marchenko
CBJ,Adam Fantilli,Erik Gudbranson,0.21,27,26,Adam Fantilli-Erik Gudbranson
CBJ,Adam Fantilli,Cole Sillinger,0.21,27,32,Adam Fantilli-Cole Sillinger
TOR,Auston Matthews,Bobby McMann,0.21,107,24,Auston Matthews-Bobby McMann
TOR,Conor Timmins,John Tavares,0.21,65,10,Conor Timmins-John Tavares
TOR,Jake McCabe,Timothy Liljegren,0.21,23,28,Jake McCabe-Timothy Liljegren
NJD,Alexander Holtz,Luke Hughes,0.21,47,28,Alexander Holtz-Luke Hughes
WSH,Aliaksei Protas,Trevor van Riemsdyk,0.21,29,14,Aliaksei Protas-Trevor van Riemsdyk
CBJ,Dmitri Voronkov,Kirill Marchenko,0.21,42,34,Dmitri Voronkov-Kirill Marchenko
CBJ,Adam Boqvist,Boone Jenner,0.21,35,10,Adam Boqvist-Boone Jenner
TOR,Bobby McMann,Matthew Knies,0.21,35,24,Bobby McMann-Matthew Knies
OTT,Brady Tkachuk,Tim Stützle,0.21,70,74,Brady Tkachuk-Tim Stützle
PHI,Scott Laughton,Sean Couturier,0.21,38,39,Scott Laughton-Sean Couturier
SEA,Brandon Tanev,Will Borgen,0.21,16,25,Brandon Tanev-Will Borgen
EDM,Brett Kulak,Cody Ceci,0.21,25,16,Brett Kulak-Cody Ceci
WPG,Axel Jonsson-Fjallby,Josh Morrissey,0.21,5,69,Axel Jonsson-Fjallby-Josh Morrissey
MIN,Joel Eriksson Ek,Ryan Hartman,0.21,45,64,Joel Eriksson Ek-Ryan Hartman
VAN,Pius Suter,Quinn Hughes,0.21,29,92,Pius Suter-Quinn Hughes
WSH,Aliaksei Protas,Ethan Bear,0.21,29,4,Aliaksei Protas-Ethan Bear
MIN,Kirill Kaprizov,Marat Khusnutdinov,0.21,96,4,Kirill Kaprizov-Marat Khusnutdinov
DET,Jeff Petry,Justin Holl,0.21,24,5,Jeff Petry-Justin Holl
CGY,Andrei Kuzmenko,Yegor Sharangovich,0.21,46,59,Andrei Kuzmenko-Yegor Sharangovich
LAK,Arthur Kaliyev,Jordan Spence,0.21,15,24,Arthur Kaliyev-Jordan Spence
LAK,Adrian Kempe,Mikey Anderson,0.21,75,18,Adrian Kempe-Mikey Anderson
CHI,Connor Bedard,Ryan Donato,0.2,61,30,Connor Bedard-Ryan Donato
OTT,Drake Batherson,Shane Pinto,0.2,66,27,Drake Batherson-Shane Pinto
NYI,Alexander Romanov,Noah Dobson,0.2,70,22,Alexander Romanov-Noah Dobson
MIN,Marcus Foligno,Marcus Johansson,0.2,30,22,Marcus Foligno-Marcus Johansson
MIN,Jared Spurgeon,Marco Rossi,0.2,40,5,Jared Spurgeon-Marco Rossi
SEA,Brian Dumoulin,Eeli Tolvanen,0.2,41,16,Brian Dumoulin-Eeli Tolvanen
CAR,Dmitry Orlov,Sebastian Aho,0.2,89,26,Dmitry Orlov-Sebastian Aho
SEA,Oliver Bjorkstrand,Tye Kartye,0.2,59,20,Oliver Bjorkstrand-Tye Kartye
CGY,Brayden Pachal,Connor Zary,0.2,34,7,Brayden Pachal-Connor Zary
PIT,Rickard Rakell,Sidney Crosby,0.2,94,37,Rickard Rakell-Sidney Crosby
LAK,Arthur Kaliyev,Mikey Anderson,0.2,15,18,Arthur Kaliyev-Mikey Anderson
WPG,Gabriel Vilardi,Nino Niederreiter,0.2,36,34,Gabriel Vilardi-Nino Niederreiter
SJS,Marc-Edouard Vlasic,Tomas Hertl,0.2,12,38,Marc-Edouard Vlasic-Tomas Hertl
VAN,Nils Hoglander,Quinn Hughes,0.2,36,92,Nils Hoglander-Quinn Hughes
SJS,Fabian Zetterlund,Marc-Edouard Vlasic,0.2,44,12,Fabian Zetterlund-Marc-Edouard Vlasic
DET,Ben Chiarot,Lucas Raymond,0.2,72,20,Ben Chiarot-Lucas Raymond
OTT,Artem Zub,Drake Batherson,0.2,25,66,Artem Zub-Drake Batherson
NYI,Adam Pelech,Casey Cizikas,0.2,23,16,Adam Pelech-Casey Cizikas
STL,Colton Parayko,Robert Thomas,0.2,86,26,Colton Parayko-Robert Thomas
NSH,Ryan McDonagh,Tommy Novak,0.2,32,45,Ryan McDonagh-Tommy Novak
CAR,Evgeny Kuznetsov,Jesper Fast,0.2,19,24,Evgeny Kuznetsov-Jesper Fast
CAR,Evgeny Kuznetsov,Seth Jarvis,0.2,67,24,Evgeny Kuznetsov-Seth Jarvis
NSH,Jeremy Lauzon,Ryan O'Reilly,0.2,14,69,Jeremy Lauzon-Ryan O'Reilly
SJS,Givani Smith,William Eklund,0.2,45,4,Givani Smith-William Eklund
MIN,Brock Faber,Mats Zuccarello,0.2,63,47,Brock Faber-Mats Zuccarello
LAK,Mikey Anderson,Phillip Danault,0.2,47,18,Mikey Anderson-Phillip Danault
WSH,John Carlson,Tom Wilson,0.2,35,52,John Carlson-Tom Wilson
FLA,Aaron Ekblad,Anton Lundell,0.2,35,18,Aaron Ekblad-Anton Lundell
OTT,Josh Norris,Tim Stützle,0.2,30,70,Josh Norris-Tim Stützle
PIT,Erik Karlsson,Ryan Graves,0.2,14,56,Erik Karlsson-Ryan Graves
VGK,Brayden Pachal,Pavel Dorofeyev,0.2,7,24,Brayden Pachal-Pavel Dorofeyev
CAR,Evgeny Kuznetsov,Jaccob Slavin,0.2,24,37,Evgeny Kuznetsov-Jaccob Slavin
CBJ,Cole Sillinger,Damon Severson,0.2,32,28,Cole Sillinger-Damon Severson
TBL,Conor Sheary,Darren Raddysh,0.2,15,33,Conor Sheary-Darren Raddysh
EDM,Evan Bouchard,Mattias Ekholm,0.2,82,45,Evan Bouchard-Mattias Ekholm
NSH,Luke Evangelista,Ryan O'Reilly,0.2,39,69,Luke Evangelista-Ryan O'Reilly
WSH,Evgeny Kuznetsov,Rasmus Sandin,0.2,24,23,Evgeny Kuznetsov-Rasmus Sandin
COL,Mikko Rantanen,Miles Wood,0.2,104,26,Mikko Rantanen-Miles Wood
CBJ,Andrew Peeke,Sean Kuraly,0.2,10,18,Andrew Peeke-Sean Kuraly
WPG,Cole Perfetti,David Gustafsson,0.2,7,38,Cole Perfetti-David Gustafsson
NYR,Jonny Brodzinski,Vincent Trocheck,0.2,19,77,Jonny Brodzinski-Vincent Trocheck
NJD,Ondrej Palat,Timo Meier,0.2,52,31,Ondrej Palat-Timo Meier
BOS,Charlie McAvoy,Trent Frederic,0.2,40,47,Charlie McAvoy-Trent Frederic
LAK,Trevor Moore,Vladislav Gavrikov,0.2,57,23,Trevor Moore-Vladislav Gavrikov
VAN,Carson Soucy,Teddy Blueger,0.2,28,6,Carson Soucy-Teddy Blueger
STL,Brandon Saad,Brayden Schenn,0.2,42,46,Brandon Saad-Brayden Schenn
CGY,Blake Coleman,MacKenzie Weegar,0.2,54,52,Blake Coleman-MacKenzie Weegar
PIT,Matt Nieto,Reilly Smith,0.2,4,40,Matt Nieto-Reilly Smith
NYR,Chris Kreider,Will Cuylle,0.2,21,75,Chris Kreider-Will Cuylle
PIT,Bryan Rust,Matt Nieto,0.2,4,56,Bryan Rust-Matt Nieto
NYI,Casey Cizikas,Kyle MacLean,0.2,23,9,Casey Cizikas-Kyle MacLean
VGK,Ben Hutton,Kaedan Korczak,0.2,10,9,Ben Hutton-Kaedan Korczak
MTL,Kaiden Guhle,Michael Pezzetta,0.2,12,22,Kaiden Guhle-Michael Pezzetta
NYR,Chris Kreider,Jimmy Vesey,0.2,75,26,Chris Kreider-Jimmy Vesey
PHI,Joel Farabee,Ryan Poehling,0.19,50,28,Joel Farabee-Ryan Poehling
OTT,Claude Giroux,Tim Stützle,0.19,64,70,Claude Giroux-Tim Stützle
OTT,Claude Giroux,Thomas Chabot,0.19,64,30,Claude Giroux-Thomas Chabot
NYI,Kyle MacLean,Ryan Pulock,0.19,9,19,Kyle MacLean-Ryan Pulock
MTL,Kaiden Guhle,Nick Suzuki,0.19,77,22,Kaiden Guhle-Nick Suzuki
VGK,Brett Howden,Jack Eichel,0.19,68,19,Brett Howden-Jack Eichel
PHI,Joel Farabee,Nicolas Deslauriers,0.19,4,50,Joel Farabee-Nicolas Deslauriers
PHI,Garnet Hathaway,Joel Farabee,0.19,50,17,Garnet Hathaway-Joel Farabee
CAR,Jaccob Slavin,Seth Jarvis,0.19,67,37,Jaccob Slavin-Seth Jarvis
PHI,Morgan Frost,Rasmus Ristolainen,0.19,41,4,Morgan Frost-Rasmus Ristolainen
WSH,Nick Jensen,Sonny Milano,0.19,14,23,Nick Jensen-Sonny Milano
WPG,Alex Iafallo,Vladislav Namestnikov,0.19,27,37,Alex Iafallo-Vladislav Namestnikov
BOS,Hampus Lindholm,Morgan Geekie,0.19,39,26,Hampus Lindholm-Morgan Geekie
ANA,Jackson LaCombe,Leo Carlsson,0.19,29,17,Jackson LaCombe-Leo Carlsson
TOR,Jake McCabe,Ryan Reaves,0.19,6,28,Jake McCabe-Ryan Reaves
TOR,Bobby McMann,William Nylander,0.19,24,98,Bobby McMann-William Nylander
BOS,Charlie McAvoy,Matthew Poitras,0.19,15,47,Charlie McAvoy-Matthew Poitras
SEA,Jaden Schwartz,Will Borgen,0.19,30,25,Jaden Schwartz-Will Borgen
CAR,Jack Drury,Martin Necas,0.19,27,53,Jack Drury-Martin Necas
MIN,Jonas Brodin,Marcus Foligno,0.19,22,27,Jonas Brodin-Marcus Foligno
MIN,Marcus Foligno,Ryan Hartman,0.19,45,22,Marcus Foligno-Ryan Hartman
TOR,David Kampf,Nicholas Robertson,0.19,19,27,David Kampf-Nicholas Robertson
CGY,Andrew Mangiapane,Daniil Miromanov,0.19,7,40,Andrew Mangiapane-Daniil Miromanov
TOR,Calle Jarnkrok,Mitch Marner,0.19,21,85,Calle Jarnkrok-Mitch Marner
VGK,Noah Hanifin,Paul Cotter,0.19,25,47,Noah Hanifin-Paul Cotter
EDM,Evan Bouchard,Ryan Nugent-Hopkins,0.19,67,82,Evan Bouchard-Ryan Nugent-Hopkins
CHI,Alex Vlasic,Philipp Kurashev,0.19,54,16,Alex Vlasic-Philipp Kurashev
ANA,Alex Killorn,Cam Fowler,0.19,36,39,Alex Killorn-Cam Fowler
LAK,Anze Kopitar,Jordan Spence,0.19,70,24,Anze Kopitar-Jordan Spence
CAR,Brent Burns,Dmitry Orlov,0.19,43,26,Brent Burns-Dmitry Orlov
MTL,Cole Caufield,Juraj Slafkovsky,0.19,65,50,Cole Caufield-Juraj Slafkovsky
COL,Devon Toews,Logan O'Connor,0.19,25,50,Devon Toews-Logan O'Connor
WSH,Connor McMichael,Dylan Strome,0.19,67,33,Connor McMichael-Dylan Strome
CBJ,Johnny Gaudreau,Kirill Marchenko,0.19,60,42,Johnny Gaudreau-Kirill Marchenko
WSH,John Carlson,Nic Dowd,0.19,22,52,John Carlson-Nic Dowd
NJD,Erik Haula,Ondrej Palat,0.19,35,31,Erik Haula-Ondrej Palat
NSH,Filip Forsberg,Roman Josi,0.19,94,85,Filip Forsberg-Roman Josi
WSH,Nick Jensen,Tom Wilson,0.19,35,14,Nick Jensen-Tom Wilson
OTT,Brady Tkachuk,Josh Norris,0.19,30,74,Brady Tkachuk-Josh Norris
TOR,Mitch Marner,Timothy Liljegren,0.19,85,23,Mitch Marner-Timothy Liljegren
PIT,Kris Letang,Sidney Crosby,0.19,94,51,Kris Letang-Sidney Crosby
CGY,Brayden Pachal,Martin Pospisil,0.19,24,7,Brayden Pachal-Martin Pospisil
DAL,Miro Heiskanen,Ty Dellandrea,0.19,54,9,Miro Heiskanen-Ty Dellandrea
MIN,Marcus Johansson,Matt Boldy,0.19,30,69,Marcus Johansson-Matt Boldy
WPG,David Gustafsson,Nikolaj Ehlers,0.19,61,7,David Gustafsson-Nikolaj Ehlers
LAK,Adrian Kempe,Kevin Fiala,0.19,75,73,Adrian Kempe-Kevin Fiala
NJD,Ondrej Palat,Simon Nemec,0.19,31,19,Ondrej Palat-Simon Nemec
NJD,Curtis Lazar,Dawson Mercer,0.19,33,25,Curtis Lazar-Dawson Mercer
NJD,Dawson Mercer,Simon Nemec,0.19,33,19,Dawson Mercer-Simon Nemec
TOR,Bobby McMann,David Kampf,0.19,19,24,Bobby McMann-David Kampf
BUF,Owen Power,Tage Thompson,0.19,56,33,Owen Power-Tage Thompson
BUF,Bowen Byram,Henri Jokiharju,0.19,29,20,Bowen Byram-Henri Jokiharju
WSH,Beck Malenstyn,Ethan Bear,0.19,21,4,Beck Malenstyn-Ethan Bear
BUF,Bowen Byram,Peyton Krebs,0.19,17,29,Bowen Byram-Peyton Krebs
BUF,Connor Clifton,Peyton Krebs,0.19,17,18,Connor Clifton-Peyton Krebs
WPG,Dylan DeMelo,Rasmus Kupari,0.19,1,31,Dylan DeMelo-Rasmus Kupari
WPG,Josh Morrissey,Rasmus Kupari,0.19,1,69,Josh Morrissey-Rasmus Kupari
BOS,Hampus Lindholm,John Beecher,0.19,10,26,Hampus Lindholm-John Beecher
NJD,Kurtis MacDermid,Timo Meier,0.19,3,52,Kurtis MacDermid-Timo Meier
STL,Jordan Kyrou,Scott Perunovich,0.19,67,17,Jordan Kyrou-Scott Perunovich
WPG,Mark Scheifele,Nate Schmidt,0.19,14,72,Mark Scheifele-Nate Schmidt
PHI,Cam York,Ryan Poehling,0.19,30,28,Cam York-Ryan Poehling
PHI,Egor Zamula,Scott Laughton,0.19,21,39,Egor Zamula-Scott Laughton
VGK,Ivan Barbashev,Nicolas Roy,0.19,45,41,Ivan Barbashev-Nicolas Roy
NJD,Dawson Mercer,Ondrej Palat,0.19,33,31,Dawson Mercer-Ondrej Palat
SJS,Kyle Burroughs,Luke Kunin,0.19,8,18,Kyle Burroughs-Luke Kunin
SJS,Klim Kostin,Kyle Burroughs,0.19,8,14,Klim Kostin-Kyle Burroughs
STL,Kevin Hayes,Nick Leddy,0.19,29,28,Kevin Hayes-Nick Leddy
WPG,Dylan DeMelo,Josh Morrissey,0.19,31,69,Dylan DeMelo-Josh Morrissey
VGK,Brendan Brisson,Pavel Dorofeyev,0.19,8,24,Brendan Brisson-Pavel Dorofeyev
DET,J.T. Compher,Patrick Kane,0.19,48,47,J.T. Compher-Patrick Kane
DET,Jake Walman,Michael Rasmussen,0.19,33,21,Jake Walman-Michael Rasmussen
FLA,Gustav Forsling,Jonah Gadjovich,0.19,4,39,Gustav Forsling-Jonah Gadjovich
MTL,Juraj Slafkovsky,Rafael Harvey-Pinard,0.19,10,50,Juraj Slafkovsky-Rafael Harvey-Pinard
MTL,Brendan Gallagher,Juraj Slafkovsky,0.19,31,50,Brendan Gallagher-Juraj Slafkovsky
SJS,Mario Ferraro,Matt Benning,0.19,2,21,Mario Ferraro-Matt Benning
ANA,Olen Zellweger,Pavel Mintyukov,0.19,28,9,Olen Zellweger-Pavel Mintyukov
NYR,Alexis Lafrenière,Zac Jones,0.19,57,9,Alexis Lafrenière-Zac Jones
NYR,Jimmy Vesey,Will Cuylle,0.19,21,26,Jimmy Vesey-Will Cuylle
NYI,Oliver Wahlstrom,Pierre Engvall,0.19,28,6,Oliver Wahlstrom-Pierre Engvall
TOR,Bobby McMann,Pontus Holmberg,0.19,17,24,Bobby McMann-Pontus Holmberg
CGY,Connor Zary,Walker Duehr,0.19,7,34,Connor Zary-Walker Duehr
EDM,Brett Kulak,Dylan Holloway,0.19,9,16,Brett Kulak-Dylan Holloway
NYR,Chris Kreider,Ryan Lindgren,0.19,75,17,Chris Kreider-Ryan Lindgren
CGY,Nazem Kadri,Yegor Sharangovich,0.19,75,59,Nazem Kadri-Yegor Sharangovich
OTT,Claude Giroux,Jakob Chychrun,0.18,64,41,Claude Giroux-Jakob Chychrun
DAL,Esa Lindell,Tyler Seguin,0.18,52,26,Esa Lindell-Tyler Seguin
PIT,Michael Bunting,Rickard Rakell,0.18,55,37,Michael Bunting-Rickard Rakell
NYI,Brock Nelson,Simon Holmstrom,0.18,25,69,Brock Nelson-Simon Holmstrom
NYI,Scott Mayfield,Simon Holmstrom,0.18,25,5,Scott Mayfield-Simon Holmstrom
CGY,Noah Hanifin,Walker Duehr,0.18,7,47,Noah Hanifin-Walker Duehr
CGY,Andrew Mangiapane,Walker Duehr,0.18,7,40,Andrew Mangiapane-Walker Duehr
CGY,Andrei Kuzmenko,Jonathan Huberdeau,0.18,52,46,Andrei Kuzmenko-Jonathan Huberdeau
VGK,Nicolas Hague,Nicolas Roy,0.18,41,12,Nicolas Hague-Nicolas Roy
NYR,Chris Kreider,Zac Jones,0.18,75,9,Chris Kreider-Zac Jones
VAN,J.T. Miller,Phillip Di Giuseppe,0.18,10,103,J.T. Miller-Phillip Di Giuseppe
BUF,Casey Mittelstadt,Dylan Cozens,0.18,47,57,Casey Mittelstadt-Dylan Cozens
BUF,Casey Mittelstadt,Jordan Greenway,0.18,28,57,Casey Mittelstadt-Jordan Greenway
BUF,JJ Peterka,Peyton Krebs,0.18,17,50,JJ Peterka-Peyton Krebs
BUF,Dylan Cozens,JJ Peterka,0.18,50,47,Dylan Cozens-JJ Peterka
STL,Jake Neighbours,Robert Thomas,0.18,38,86,Jake Neighbours-Robert Thomas
STL,Brandon Saad,Justin Faulk,0.18,42,30,Brandon Saad-Justin Faulk
VAN,Nils Aman,Tyler Myers,0.18,7,29,Nils Aman-Tyler Myers
VAN,Teddy Blueger,Vasily Podkolzin,0.18,28,2,Teddy Blueger-Vasily Podkolzin
WPG,Cole Perfetti,Josh Morrissey,0.18,69,38,Cole Perfetti-Josh Morrissey
WPG,Dylan Samberg,Vladislav Namestnikov,0.18,18,37,Dylan Samberg-Vladislav Namestnikov
NJD,Dougie Hamilton,Jonas Siegenthaler,0.18,16,9,Dougie Hamilton-Jonas Siegenthaler
NYR,Jimmy Vesey,Jonny Brodzinski,0.18,19,26,Jimmy Vesey-Jonny Brodzinski
VGK,Brayden McNabb,Mark Stone,0.18,53,26,Brayden McNabb-Mark Stone
VGK,Brayden McNabb,Zach Whitecloud,0.18,26,14,Brayden McNabb-Zach Whitecloud
VAN,Andrei Kuzmenko,Brock Boeser,0.18,46,73,Andrei Kuzmenko-Brock Boeser
WPG,Adam Lowry,Josh Morrissey,0.18,35,69,Adam Lowry-Josh Morrissey
EDM,Dylan Holloway,Ryan McLeod,0.18,30,9,Dylan Holloway-Ryan McLeod
NYR,Artemi Panarin,Jacob Trouba,0.18,120,22,Artemi Panarin-Jacob Trouba
VAN,J.T. Miller,Pius Suter,0.18,103,29,J.T. Miller-Pius Suter
BOS,Matthew Poitras,Patrick Brown,0.18,1,15,Matthew Poitras-Patrick Brown
COL,Cale Makar,Samuel Girard,0.18,18,90,Cale Makar-Samuel Girard
BOS,David Pastrnak,Hampus Lindholm,0.18,110,26,David Pastrnak-Hampus Lindholm
BOS,Andrew Peeke,David Pastrnak,0.18,110,10,Andrew Peeke-David Pastrnak
TOR,Jake McCabe,Simon Benoit,0.18,5,28,Jake McCabe-Simon Benoit
TOR,Auston Matthews,Jake McCabe,0.18,107,28,Auston Matthews-Jake McCabe
NJD,Jonas Siegenthaler,Kevin Bahl,0.18,11,9,Jonas Siegenthaler-Kevin Bahl
TOR,Jake McCabe,William Nylander,0.18,98,28,Jake McCabe-William Nylander
SEA,Adam Larsson,Jaden Schwartz,0.18,30,18,Adam Larsson-Jaden Schwartz
MIN,Jake Middleton,Mats Zuccarello,0.18,63,25,Jake Middleton-Mats Zuccarello
SEA,Jaden Schwartz,Matty Beniers,0.18,37,30,Jaden Schwartz-Matty Beniers
SEA,Tye Kartye,Vince Dunn,0.18,20,46,Tye Kartye-Vince Dunn
